roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,recent_math_score,recent_writing_score,recent_science_score,gpa_letter,gpa
std-116,male,group C,associate's degree,0,0,28,84,38,C,50.75
std-117,male,group C,some college,1,0,21,55,49,D,43
std-118,male,group C,some high school,1,1,66,40,40,C,59.25
std-119,male,group A,associate's degree,1,1,18,72,49,C,58.5
std-120,male,group B,some college,1,0,70,29,50,C,52
std-121,male,group C,high school,1,0,30,76,48,C,54.25
std-122,male,group C,associate's degree,1,0,98,100,69,A,83.75
std-123,male,group E,associate's degree,0,0,85,64,73,A,80
std-124,male,group C,some high school,1,0,75,51,91,B,76.75
std-125,male,group A,master's degree,0,1,97,69,58,A,81
std-126,male,group B,some college,1,0,20,27,43,D,41.5
std-127,male,group C,high school,1,1,50,67,100,B,79.25
std-128,male,group D,some college,1,1,65,72,72,B,73.5
std-129,male,group E,some college,0,1,23,92,67,B,70.5
std-130,male,group B,master's degree,1,0,32,51,9,Fail,35
std-131,male,group E,high school,1,0,61,100,54,B,68.5
std-132,male,group B,some high school,0,0,73,96,81,A,82
std-133,male,group B,bachelor's degree,1,0,88,79,100,A,88
std-134,male,group C,some high school,0,1,60,41,28,C,55.25
std-135,male,group B,bachelor's degree,1,1,25,80,94,B,70.25
std-136,male,group E,some high school,1,1,93,75,91,A,85
std-137,male,group D,some high school,1,0,72,78,58,B,63
std-138,male,group D,some college,0,1,64,81,100,B,77.5
std-139,male,group D,some college,1,0,41,88,64,B,66.25
std-140,male,group C,some high school,1,1,36,60,77,C,60
std-141,male,group C,associate's degree,0,1,33,31,97,C,62.25
std-142,male,group D,associate's degree,1,0,54,62,78,B,70
std-143,male,group B,high school,1,1,44,60,39,D,48
std-144,male,group A,master's degree,1,0,44,92,86,C,59.75
std-145,male,group D,high school,1,0,19,99,62,B,66
std-146,male,group C,master's degree,1,0,29,47,48,D,45.75
std-147,male,group C,some high school,0,1,39,72,25,D,48.5
std-148,male,group C,some college,0,0,24,94,9,C,51
std-149,male,group C,some college,1,0,76,100,41,B,77
std-150,male,group C,master's degree,0,0,74,86,91,B,78.25
std-151,male,group E,some college,1,1,65,63,56,C,61.5
std-152,male,group B,master's degree,0,0,38,59,82,C,60.5
std-153,male,group C,high school,1,0,71,56,73,B,64.5
std-154,male,group D,some high school,0,0,75,100,34,B,77.25
std-155,male,group B,bachelor's degree,0,0,68,77,89,B,78.25
std-156,male,group D,high school,1,0,34,64,44,C,58.25
std-157,male,group A,some high school,0,0,45,67,9,D,42.25
std-158,male,group C,some college,0,1,46,86,59,C,56.25
std-159,male,group B,some college,0,0,82,52,60,B,70.25
std-160,male,,,1,0,57,95,99,B,77.5
std-161,male,group C,master's degree,,0,0,66,80,C,59.75
std-162,male,group D,some college,0,,88,59,46,B,64.25
std-163,male,group E,bachelor's degree,1,0,27,,82,B,74
std-164,male,group A,bachelor's degree,0,1,17,63,44,C,55.25
std-165,male,group C,some college,0,1,62,73,56,B,
std-166,male,group C,bachelor's degree,0,1,16,47,32,,48.75
std-167,male,group D,some college,0,0,89,64,99,A,80
std-168,male,group A,associate's degree,1,0,50,57,32,D,49.75
std-169,male,group C,high school,1,0,40,53,84,B,68.75
std-170,male,group E,bachelor's degree,0,1,56,52,69,B,64.5
std-171,male,group C,bachelor's degree,0,0,80,37,75,B,65.5
std-172,male,group E,bachelor's degree,1,0,74,36,41,C,55.25
std-173,male,group D,bachelor's degree,0,1,23,73,86,B,67.25
std-174,male,group D,high school,1,0,53,73,87,B,66
std-175,male,group D,some college,1,0,39,48,62,D,47.5
std-176,male,group B,master's degree,0,0,30,93,91,B,70.75
std-177,male,group E,high school,1,1,68,65,98,A,80.5
std-178,male,group E,some high school,1,1,71,58,58,B,66.75
std-179,male,group D,associate's degree,1,0,14,25,,Fail,31
std-180,male,group C,some high school,1,1,44,,61,B,71.25
std-181,male,group C,high school,0,0,69,49,48,C,62
std-182,male,group B,high school,0,0,,33,49,C,54.75
std-183,male,group D,bachelor's degree,1,,49,93,64,B,69
std-184,male,group D,some college,,1,84,67,62,B,72
std-185,male,group E,,1,0,55,70,92,B,75.75
std-186,male,,master's degree,1,0,49,55,94,B,72
std-187,male,group C,associate's degree,1,1,41,63,97,B,68.25
std-188,male,group D,bachelor's degree,1,1,49,66,34,C,51.75
std-189,male,group B,some college,1,0,16,88,36,C,60
std-190,male,group C,associate's degree,0,1,37,52,45,C,58.25
std-191,male,group C,high school,1,1,87,65,60,B,67.25
std-192,male,group E,some college,1,1,45,46,73,B,66
std-193,male,group B,associate's degree,0,0,32,61,61,C,50.25
std-194,male,group D,some high school,1,1,62,89,63,B,76.25
std-195,male,group E,some high school,1,1,58,64,62,B,68
std-196,male,group E,bachelor's degree,0,1,51,54,74,C,59.75
std-197,male,group D,master's degree,1,1,45,56,74,C,56.5
std-198,male,group D,master's degree,1,0,33,53,85,C,58.5
std-199,male,group D,some college,1,1,50,78,35,B,63.5
std-200,male,group D,bachelor's degree,0,0,57,42,80,B,62.5
std-201,male,group C,high school,1,1,80,84,46,B,77.5
std-202,male,group A,some college,0,0,69,37,87,C,57.5
std-203,male,group D,high school,0,0,39,51,40,D,49
std-204,male,group C,some high school,1,1,9,88,68,B,65
std-205,male,group C,master's degree,0,1,8,61,33,D,42.75
std-206,male,group E,some high school,0,0,17,34,72,D,49.75
std-207,male,group D,bachelor's degree,0,1,33,63,57,C,51.75
std-208,male,group D,high school,0,1,16,81,100,C,61.75
std-209,male,group B,some high school,0,0,65,49,30,C,59
std-210,male,group A,high school,1,0,54,60,70,B,67.25
std-211,male,,high school,1,0,19,58,74,C,53.25
std-212,male,group E,high school,1,0,51,63,47,C,55.25
std-213,male,group C,associate's degree,,0,66,50,73,B,71
std-214,male,group A,some college,0,,18,10,76,D,44
std-215,male,group C,master's degree,0,0,,47,29,C,51.75
std-216,male,group C,associate's degree,0,1,33,74,52,C,57.75
std-217,male,group B,some college,0,0,81,,60,C,62
std-218,male,group C,some college,0,0,35,47,,C,58.75
std-219,male,group C,bachelor's degree,1,1,49,88,70,B,
std-220,male,group B,associate's degree,0,0,75,42,53,C,56.75
std-221,male,group C,some college,0,1,40,99,100,A,80.5
std-222,male,group A,bachelor's degree,1,0,79,62,63,B,76
std-223,male,group B,bachelor's degree,0,1,44,65,88,B,70.75
std-224,male,group D,bachelor's degree,1,0,20,65,15,Fail,36.5
std-225,male,group A,some high school,1,1,16,56,77,C,54.75
std-226,male,group C,high school,0,0,65,56,45,C,52.75
std-227,male,group E,high school,1,1,68,72,30,C,59.25
std-228,male,group D,some high school,1,1,74,51,80,B,67.75
std-229,male,group C,some college,1,0,16,66,49,C,53.5
std-230,male,group B,high school,1,1,65,84,13,C,51.25
std-231,male,group D,some college,1,1,71,72,46,B,69.25
std-232,male,group D,some college,1,1,11,91,93,B,63
std-233,male,group C,associate's degree,0,0,44,82,67,C,57.75
std-234,male,group C,some college,0,0,12,74,92,C,60.5
std-235,male,group E,associate's degree,0,0,11,56,92,B,63
std-236,male,group E,associate's degree,0,0,54,79,58,B,66.5
std-237,male,group D,associate's degree,1,0,21,68,65,C,53
std-238,male,group E,some college,1,0,48,58,52,C,58
std-239,male,group C,some college,0,0,40,51,74,C,54
std-240,male,group C,high school,0,0,79,62,62,B,69.25
std-241,male,group E,bachelor's degree,1,1,77,94,63,B,76.5
std-242,male,group C,some college,1,0,19,69,58,C,52.25
std-243,male,group E,some college,1,0,74,63,68,B,70.5
std-244,male,group C,some college,0,0,52,,,B,65.75
std-245,male,group D,some college,1,1,51,61,80,B,66.25
std-246,male,group D,bachelor's degree,1,1,,77,49,B,65
std-247,male,group E,bachelor's degree,1,,39,62,49,C,57.25
std-248,male,group C,bachelor's degree,,0,43,73,42,B,64.5
std-249,male,group C,,0,1,24,54,91,C,55.25
std-250,male,,high school,0,0,26,96,42,C,56.75
std-251,,group D,some high school,1,1,68,100,41,B,65.5
std-252,male,group B,high school,1,0,72,100,46,B,79.5
std-253,male,group A,high school,0,1,43,89,68,B,70.25
std-254,male,group E,high school,0,0,68,42,54,C,51.25
std-255,male,group C,high school,1,0,44,59,65,C,59.5
std-256,male,group C,some college,0,1,83,56,36,C,53.5
std-257,male,group E,high school,1,1,60,74,71,B,71.25
std-258,male,group A,some college,1,0,82,75,71,A,82
std-259,male,group E,bachelor's degree,1,0,22,48,50,D,46.25
std-260,male,group E,master's degree,1,1,83,92,77,B,76
std-261,male,group D,some high school,0,0,99,81,97,A,88.75
std-262,male,group B,bachelor's degree,1,0,79,94,78,A,81
std-263,male,group C,high school,1,0,55,87,54,C,62
std-264,male,group E,associate's degree,0,0,39,55,77,B,65
std-265,male,group D,some college,1,1,69,60,73,B,69.5
std-266,male,group E,high school,1,0,50,59,64,C,59.5
std-267,male,group D,associate's degree,0,0,89,70,67,B,75
std-268,male,group C,associate's degree,1,1,60,63,47,B,65.75
std-269,male,group D,associate's degree,1,0,53,92,63,B,75.5
std-270,male,group C,some high school,1,0,72,73,77,A,80
std-271,male,group A,high school,1,1,0,99,47,C,57.75
std-272,male,group E,some high school,0,0,83,78,86,A,81.25
std-273,male,group D,bachelor's degree,1,0,72,75,54,B,65.25
std-274,male,group A,master's degree,1,0,49,75,42,B,63.5
std-275,male,group B,high school,1,0,16,58,40,D,41
std-276,male,group B,master's degree,1,0,78,50,75,B,65.75
std-277,male,group D,bachelor's degree,0,1,41,52,45,C,51
std-278,male,group B,associate's degree,1,0,33,61,59,C,54.5
std-279,male,group D,some college,0,0,58,70,38,C,57.5
std-280,male,group C,bachelor's degree,0,0,23,90,55,C,60
std-281,male,group B,high school,1,0,46,52,32,C,55.5
std-282,male,group D,high school,1,1,20,34,29,D,39.25
std-283,male,group D,bachelor's degree,1,0,17,44,31,Fail,36.75
std-284,male,group D,associate's degree,1,0,25,59,69,C,56
std-285,male,group C,bachelor's degree,1,1,70,79,65,B,65.5
std-286,male,group D,some college,0,0,46,70,44,C,57.25
std-287,male,group E,some college,1,1,41,69,44,C,53.75
std-288,male,group C,high school,1,0,69,65,94,B,66
std-289,male,group B,bachelor's degree,1,0,61,72,44,C,54.25
std-290,male,group B,high school,1,0,68,100,62,A,82.5
std-291,male,group B,master's degree,0,0,68,76,59,B,67
std-292,male,group D,associate's degree,1,0,41,66,37,D,44.75
std-293,male,group D,bachelor's degree,1,1,24,47,11,Fail,28.75
std-294,male,group E,bachelor's degree,0,0,48,100,49,B,72.75
std-295,male,group D,master's degree,1,1,54,87,48,B,68.75
std-296,male,group C,associate's degree,1,1,37,96,64,B,74.25
std-297,male,group B,associate's degree,1,0,40,75,39,C,53.25
std-298,male,group C,bachelor's degree,1,0,49,79,69,B,73.75
std-299,male,group B,bachelor's degree,0,0,73,56,66,B,68.5
std-300,male,group C,high school,0,0,67,64,80,B,77.75
std-301,male,group D,master's degree,1,0,44,57,64,D,45.5
std-302,male,group C,some high school,0,0,47,65,25,C,55.5
std-303,male,group D,bachelor's degree,1,0,75,100,100,A,92.75
std-304,male,group A,associate's degree,0,1,39,53,73,C,61.75
std-305,male,group B,high school,0,1,44,53,10,D,45.75
std-306,male,group B,high school,1,0,37,70,87,B,73.5
std-307,male,group A,bachelor's degree,1,1,58,86,50,B,65.75
std-308,male,group E,bachelor's degree,1,0,72,48,82,B,66
std-309,male,group E,some college,0,0,26,85,59,C,61.5
std-310,male,group C,associate's degree,0,0,25,56,39,D,41
std-311,male,group C,some high school,1,0,59,69,75,B,75.75
std-312,male,group C,some high school,1,0,98,95,67,A,90
std-313,male,group B,bachelor's degree,0,1,63,55,38,B,64
std-314,male,group E,high school,1,0,64,77,89,A,82.25
std-315,male,group C,some college,0,0,25,95,48,C,54.75
std-316,male,group C,associate's degree,1,1,75,80,49,B,67.75
std-317,male,group B,some college,0,1,17,69,23,D,44.25
std-318,male,group D,bachelor's degree,0,1,69,79,64,B,67.25
std-319,male,group D,master's degree,0,1,29,69,60,B,62.75
std-320,male,group D,some college,1,0,37,62,69,C,53
std-321,male,group D,associate's degree,0,0,49,16,75,C,50.5
std-322,male,group E,associate's degree,0,1,98,70,69,B,74.25
std-323,male,group D,master's degree,1,0,30,73,43,C,52.25
std-324,male,group E,master's degree,0,1,71,73,40,B,71
std-325,male,group C,high school,0,0,39,34,46,D,44.25
std-326,male,group D,some high school,0,1,19,67,9,Fail,35.25
std-327,male,group B,master's degree,1,1,35,57,57,C,61
std-328,male,group C,some high school,1,0,42,100,80,A,80.5
std-329,male,group B,associate's degree,1,1,86,59,47,B,65.75
std-330,male,group B,bachelor's degree,1,1,46,100,64,B,76
std-331,male,group D,bachelor's degree,0,1,77,63,32,C,61.75
std-332,male,group E,some college,1,1,79,70,78,B,67.75
std-333,male,group B,some college,1,1,62,55,58,B,64.5
std-334,male,group C,bachelor's degree,1,0,57,96,79,A,81
std-335,male,group A,some high school,0,1,30,48,42,D,44.75
std-336,male,group C,some high school,0,1,45,59,100,B,69.5
std-337,male,group A,high school,1,0,77,58,90,A,80.25
std-338,male,group D,high school,1,1,43,80,82,C,60
std-339,male,group A,some high school,0,0,31,34,47,D,47.5
std-340,male,group C,high school,1,0,30,87,54,B,67.75
std-341,male,group C,high school,0,0,61,79,80,B,77.25
std-342,male,group D,high school,1,1,61,86,71,B,76.75
std-343,male,group E,some high school,1,0,92,45,69,B,69
std-344,male,group B,some college,1,0,50,54,69,B,62.75
std-345,male,group B,bachelor's degree,0,1,75,63,56,B,70
std-346,male,group D,associate's degree,1,0,43,83,64,C,60.25
std-347,male,group A,high school,1,0,64,69,64,B,67
std-348,male,group C,associate's degree,1,0,19,83,63,D,45.5
std-349,male,group C,associate's degree,1,0,17,65,89,B,63.25
std-350,male,group B,high school,0,1,68,77,89,A,83.5
std-351,male,group C,high school,0,0,54,36,94,B,65.75
std-352,male,group C,associate's degree,0,0,79,83,66,B,79.75
std-353,male,group D,high school,0,1,51,67,82,C,61
std-354,male,group D,high school,1,0,24,53,45,C,50.75
std-355,male,group B,associate's degree,0,1,79,76,54,B,69
std-356,male,group B,high school,1,0,19,56,75,C,57
std-357,male,group B,some college,1,0,52,68,59,B,63.75
std-358,male,group D,some college,0,0,28,30,32,D,41.25
std-359,male,group C,high school,0,0,86,43,12,C,51.75
std-360,male,group C,some high school,1,0,50,76,62,B,72
std-361,male,group C,associate's degree,1,1,50,66,79,B,62.5
std-362,male,group C,high school,1,0,20,54,61,D,45.5
std-363,male,group D,bachelor's degree,1,1,17,52,90,C,60
std-364,male,group B,bachelor's degree,1,0,57,87,91,B,77
std-365,male,group B,associate's degree,1,1,47,100,76,B,70.75
std-366,male,group C,some college,1,1,94,72,97,A,81.5
std-367,male,group D,associate's degree,1,0,46,69,49,D,48.75
std-368,male,group D,some high school,1,1,70,96,81,A,82.75
std-369,male,group C,some college,0,1,31,76,54,D,46.75
std-370,male,group B,bachelor's degree,1,0,87,100,47,B,78
std-371,male,group B,master's degree,0,0,24,55,83,C,54
std-372,male,group D,high school,0,1,71,86,83,A,84.25
std-373,male,group C,high school,1,0,59,93,46,C,58
std-374,male,group C,some college,1,0,36,26,45,D,37.5
std-375,male,group C,associate's degree,0,1,59,51,58,C,58.25
std-376,male,group D,associate's degree,0,1,25,91,89,B,73.25
std-377,male,group C,some high school,1,1,6,79,38,D,45.75
std-378,male,group E,some high school,1,1,43,85,35,C,61.25
std-379,male,group A,some college,1,0,60,95,53,B,67.75
std-380,male,group D,bachelor's degree,0,1,70,78,89,A,84.25
std-381,male,group C,high school,1,0,51,70,27,D,47.5
std-382,male,group D,high school,0,1,67,38,58,C,53
std-383,male,group B,some high school,1,0,23,67,38,C,56
std-384,male,group E,master's degree,1,0,72,72,43,B,68.75
std-385,male,group C,associate's degree,1,0,13,53,31,Fail,30.25
std-386,male,group E,bachelor's degree,1,1,89,52,86,B,75.5
std-387,male,group D,some college,1,1,28,52,58,D,38.75
std-388,male,group E,some high school,1,1,18,100,26,C,57.75
std-389,male,group D,some college,1,1,45,75,51,C,61.75
std-390,male,group A,some high school,0,0,38,72,44,B,63.5
std-391,male,group C,bachelor's degree,1,0,20,88,96,B,73.25
std-392,male,group C,associate's degree,0,1,48,87,71,B,63.5
std-393,male,group C,some college,1,0,19,61,57,C,53.25
std-394,male,group D,associate's degree,0,0,53,63,67,B,63.75
std-395,male,group D,master's degree,0,0,30,48,40,Fail,34.75
std-396,male,group D,some high school,0,1,89,60,62,B,77.5
std-397,male,group D,master's degree,1,0,36,61,75,B,68
std-398,male,group D,bachelor's degree,1,0,81,83,85,B,74
std-399,male,group D,some high school,1,1,99,44,17,B,65
std-400,male,group D,bachelor's degree,1,0,27,51,98,C,56.5
std-401,male,group B,associate's degree,0,0,60,100,56,B,79
std-402,male,group D,bachelor's degree,0,0,48,91,98,B,77
std-403,male,group C,bachelor's degree,0,1,64,49,86,B,68.25
std-404,male,group E,bachelor's degree,1,0,73,82,29,B,64.25
std-405,male,group E,high school,0,1,25,69,52,D,46.5
std-406,male,group D,associate's degree,1,0,28,45,37,Fail,33.75
std-407,,group C,high school,1,0,54,66,100,B,68.75
std-408,male,group A,,0,0,17,51,61,D,47
std-409,male,group C,associate's degree,,1,85,76,90,B,74.25
std-410,male,group C,bachelor's degree,1,,27,62,37,C,51.75
std-411,male,group B,high school,1,0,,44,95,B,68.75
std-412,male,group A,associate's degree,0,1,75,69,26,C,61.75
std-413,male,group E,associate's degree,0,1,27,,43,D,38.75
std-414,male,group B,high school,1,0,72,37,47,C,54.25
std-415,male,group E,high school,0,0,100,51,100,A,
std-416,male,group D,associate's degree,0,1,54,80,50,C,57
std-417,male,group B,associate's degree,1,1,50,91,46,B,66
std-418,male,group E,high school,0,0,55,81,45,C,60.75
std-419,male,group E,associate's degree,1,1,37,72,57,B,65.25
std-420,male,group C,some college,1,0,98,96,50,B,76
std-421,male,group B,associate's degree,0,0,25,60,50,C,54.75
std-422,male,group B,high school,0,1,53,30,48,D,47.5
std-423,male,group C,some high school,0,1,77,67,57,C,60
std-424,male,group C,master's degree,1,1,12,73,59,C,53.5
std-425,male,group D,associate's degree,0,1,57,47,95,B,66.5
std-426,male,group C,associate's degree,1,0,46,76,86,B,67.25
std-427,male,group E,some high school,1,0,30,70,47,C,55.75
std-428,male,group D,some high school,1,0,45,55,81,C,61.5
std-429,male,group C,high school,0,1,77,85,81,A,84
std-430,male,group B,some college,0,0,17,73,57,D,48.75
std-431,male,group A,master's degree,0,1,35,100,94,B,75.75
std-432,male,group A,some college,0,1,91,66,100,A,88.75
std-433,male,group C,high school,1,0,65,34,100,C,61.5
std-434,male,group B,some college,0,0,74,88,83,A,85.75
std-435,male,group A,high school,1,0,39,59,53,C,61.75
std-436,male,group A,master's degree,1,0,34,52,80,C,53.5
std-437,male,group C,some college,0,1,54,78,100,B,72.5
std-438,male,group D,master's degree,1,0,67,81,64,B,66.5
std-439,male,group B,high school,0,0,72,98,82,A,88
std-440,male,group D,associate's degree,0,0,72,53,94,B,77.25
std-441,male,group D,high school,1,1,54,28,88,B,64
std-442,male,group E,associate's degree,1,0,34,54,57,D,49.5
std-443,male,group E,some college,0,0,50,70,72,C,62
std-444,male,group C,high school,0,0,53,82,65,B,68.25
std-445,male,group B,associate's degree,0,0,71,64,54,C,58.25
std-446,male,group B,associate's degree,1,0,48,73,54,B,66.75
std-447,male,group C,master's degree,1,1,60,59,75,B,72.25
std-448,male,group C,some high school,0,1,36,64,55,C,54.75
std-449,male,group B,some college,0,0,97,58,34,B,63.25
std-450,male,group C,some college,1,1,49,84,92,A,80.75
std-451,male,group B,bachelor's degree,1,1,78,51,40,B,62.5
std-452,male,group D,associate's degree,1,0,21,53,55,D,48.25
std-453,male,group B,some college,1,0,96,82,100,A,90.5
std-454,male,group D,associate's degree,1,1,77,29,54,C,55
std-455,male,group C,high school,1,1,43,82,80,B,76.25
std-456,male,group C,some high school,1,0,38,65,87,B,72.5
std-457,male,group E,bachelor's degree,1,0,53,72,42,C,60.75
std-458,male,group C,some college,0,1,53,65,53,B,67.75
std-459,male,group D,associate's degree,1,1,51,64,93,B,68.25
std-460,male,group C,some high school,1,1,70,45,69,C,59
std-461,male,group C,high school,0,0,85,62,48,B,66.75
std-462,male,group D,some high school,1,0,51,55,61,C,53.75
std-463,male,group B,some college,1,1,56,69,77,B,73.75
std-464,male,group C,bachelor's degree,1,1,75,83,38,B,74
std-465,male,group B,some college,0,1,94,68,69,B,68.75
std-466,male,group D,associate's degree,1,0,14,50,41,C,50
std-467,male,group D,bachelor's degree,0,0,80,91,70,B,77
std-468,male,group D,associate's degree,1,1,16,89,79,B,65.25
std-469,male,group C,high school,0,0,32,53,74,C,60.25
std-470,male,group D,master's degree,0,0,84,69,80,B,72
std-471,male,group B,associate's degree,1,1,89,61,26,C,59.5
std-472,male,group B,associate's degree,0,0,44,77,65,C,61.25
std-473,male,group D,master's degree,0,0,57,52,61,B,66.5
std-474,male,group E,associate's degree,0,0,86,33,33,C,57.25
std-475,male,group C,associate's degree,0,1,38,64,50,C,60.25
std-476,male,group C,bachelor's degree,0,1,89,50,89,B,68.5
std-477,male,group D,associate's degree,1,1,46,76,73,C,61.75
std-478,male,group D,master's degree,0,0,30,52,18,D,47.25
